"nftId","uri","image","metadata"
"moneyverse-1027","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeidkxe7vzksmicktxl4awvcyqjlxj3gtx474lz5x6tr4qmw6iqdvne","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1027"",""fileName"":""2-sliver-0765"",""ipfs_hash"":""ipfs://bafybeidkxe7vzksmicktxl4awvcyqjlxj3gtx474lz5x6tr4qmw6iqdvne"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0088,""Z"":0.0063},""coin_2_rotate"":{""X"":0.0019,""Z"":0.0093}}}"
"moneyverse-1028","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeigcdjim3c43lsbkqijhzdn3qvm7cm7iz3alemyemcgiclm47nuxlq","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1028"",""fileName"":""2-sliver-0318"",""ipfs_hash"":""ipfs://bafybeigcdjim3c43lsbkqijhzdn3qvm7cm7iz3alemyemcgiclm47nuxlq"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0011,""Z"":0.0019},""coin_2_rotate"":{""X"":-0.0011,""Z"":-0.0019}}}"
"moneyverse-1029","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeifb5mljlq6u6wrvjkwy5mo2c4wltr2hjkzqtjcxd64ppoe7lk7vhi","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1029"",""fileName"":""2-sliver-1090"",""ipfs_hash"":""ipfs://bafybeifb5mljlq6u6wrvjkwy5mo2c4wltr2hjkzqtjcxd64ppoe7lk7vhi"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0081,""Z"":0.0051},""coin_2_rotate"":{""X"":0.0052,""Z"":0.0067}}}"
"moneyverse-1030","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiajpij4t4oifhf7w3htichaj72j5lo3yeso3gvdb2gom7m72izkam","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1030"",""fileName"":""2-sliver-0269"",""ipfs_hash"":""ipfs://bafybeiajpij4t4oifhf7w3htichaj72j5lo3yeso3gvdb2gom7m72izkam"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Bottom"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.003,""Z"":0.0019},""coin_2_rotate"":{""X"":-0.003,""Z"":-0.0019},""coin_1_position"":{""X"":-145,""Y"":149},""coin_2_position"":{""X"":162,""Y"":174}}}"
"moneyverse-1031","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiaq4lvd5gjghulrzukaqetpjdnetjrp4craf2s2pl24mx43ffiy6a","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1031"",""fileName"":""2-sliver-0423"",""ipfs_hash"":""ipfs://bafybeiaq4lvd5gjghulrzukaqetpjdnetjrp4craf2s2pl24mx43ffiy6a"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0099,""Z"":0.0013},""coin_2_rotate"":{""X"":-0.0099,""Z"":-0.0013}}}"
"moneyverse-1032","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeibuwe5f5quu7ba3vrt5aw4mmyunb6vbgxjy6rxp4trgay4wtnlgea","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1032"",""fileName"":""2-sliver-0255"",""ipfs_hash"":""ipfs://bafybeibuwe5f5quu7ba3vrt5aw4mmyunb6vbgxjy6rxp4trgay4wtnlgea"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0062,""Z"":0.0024},""coin_2_rotate"":{""X"":-0.0062,""Z"":-0.0024}}}"
"moneyverse-1033","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiecpngnr4uubyjde5dwjvmcnwzszugm77pxzf32gsbgkewmxrxove","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1033"",""fileName"":""1-gold-22"",""ipfs_hash"":""ipfs://bafybeiecpngnr4uubyjde5dwjvmcnwzszugm77pxzf32gsbgkewmxrxove"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Gold"",""coin_1_rotate"":{""X"":0.0079,""Z"":0.0055},""coin_2_rotate"":{""X"":0.0067,""Z"":0.0089}}}"
"moneyverse-1034","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeigmz6na4dgpyc2gbujyol7nob5usgvzikgk3ao5kq7ynna7br4hxu","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1034"",""fileName"":""2-sliver-0742"",""ipfs_hash"":""ipfs://bafybeigmz6na4dgpyc2gbujyol7nob5usgvzikgk3ao5kq7ynna7br4hxu"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0051,""Z"":0.0093},""coin_2_rotate"":{""X"":0.0032,""Z"":0.0097}}}"
"moneyverse-1035","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeickamlwjdgczbg266lv7bdntc5spmwmh34wwtbtpegy6crhkixd7a","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1035"",""fileName"":""2-sliver-1119"",""ipfs_hash"":""ipfs://bafybeickamlwjdgczbg266lv7bdntc5spmwmh34wwtbtpegy6crhkixd7a"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0086,""Z"":0.0041},""coin_2_rotate"":{""X"":0.0072,""Z"":0.0074}}}"
"moneyverse-1036","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeihypsjajjdlnr2lh7wwk5eshseepoydyxqhjmohey2yztgauwvcuu","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1036"",""fileName"":""2-sliver-0042"",""ipfs_hash"":""ipfs://bafybeihypsjajjdlnr2lh7wwk5eshseepoydyxqhjmohey2yztgauwvcuu"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0056,""Z"":0.0024},""coin_2_rotate"":{""X"":0.0076,""Z"":0.0017}}}"
"moneyverse-1037","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeibbsmv7kd5545ghb3uvihob7fjyzqbb2qtnppv2e6b4jpj25zwl4y","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1037"",""fileName"":""2-sliver-0486"",""ipfs_hash"":""ipfs://bafybeibbsmv7kd5545ghb3uvihob7fjyzqbb2qtnppv2e6b4jpj25zwl4y"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0066,""Z"":0.0061},""coin_2_rotate"":{""X"":-0.0066,""Z"":-0.0061},""coin_1_position"":{""X"":86,""Y"":11},""coin_2_position"":{""X"":18,""Y"":184}}}"
"moneyverse-1038","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeibxs7v3cpm33zmqqdxqakqimb5jp2d4gyz6n3oln6t2g2ryywblbe","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1038"",""fileName"":""2-sliver-0670"",""ipfs_hash"":""ipfs://bafybeibxs7v3cpm33zmqqdxqakqimb5jp2d4gyz6n3oln6t2g2ryywblbe"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Bottom"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.005,""Z"":0.005},""coin_2_rotate"":{""X"":-0.005,""Z"":-0.005},""coin_1_position"":{""X"":-5,""Y"":93},""coin_2_position"":{""X"":-61,""Y"":120}}}"
"moneyverse-1039","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiakxr3rup2ygq264sug6kfyxcml2r7hpxugra2on5rwt3m2f7r44u","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1039"",""fileName"":""2-sliver-1092"",""ipfs_hash"":""ipfs://bafybeiakxr3rup2ygq264sug6kfyxcml2r7hpxugra2on5rwt3m2f7r44u"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0066,""Z"":0.0035},""coin_2_rotate"":{""X"":-0.0066,""Z"":-0.0035},""coin_1_position"":{""X"":174,""Y"":-180},""coin_2_position"":{""X"":-72,""Y"":59}}}"
"moneyverse-1040","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeida46ybou6yua2dtvvow6hbnpvfhjkmzgq3eenyyqn7i4oj6vd4v4","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1040"",""fileName"":""2-sliver-0424"",""ipfs_hash"":""ipfs://bafybeida46ybou6yua2dtvvow6hbnpvfhjkmzgq3eenyyqn7i4oj6vd4v4"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0036,""Z"":0.0084},""coin_2_rotate"":{""X"":-0.0036,""Z"":-0.0084}}}"
"moneyverse-1041","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeie7gkvjcjpyy56tkp6wjs3vvhxmvosgnztdmne2syy57xjnlmzbrm","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1041"",""fileName"":""2-sliver-0455"",""ipfs_hash"":""ipfs://bafybeie7gkvjcjpyy56tkp6wjs3vvhxmvosgnztdmne2syy57xjnlmzbrm"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0092,""Z"":0.004},""coin_2_rotate"":{""X"":-0.0092,""Z"":-0.004},""coin_1_position"":{""X"":-14,""Y"":-98},""coin_2_position"":{""X"":-49,""Y"":-55}}}"
"moneyverse-1042","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeih3lcdntetkebdoqa5lmahza3msfgskfs6gwqcr7kelywingl4rfu","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1042"",""fileName"":""2-sliver-0277"",""ipfs_hash"":""ipfs://bafybeih3lcdntetkebdoqa5lmahza3msfgskfs6gwqcr7kelywingl4rfu"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0012,""Z"":0.0047},""coin_2_rotate"":{""X"":-0.0012,""Z"":-0.0047},""coin_1_position"":{""X"":46,""Y"":-163},""coin_2_position"":{""X"":29,""Y"":63}}}"
"moneyverse-1043","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiholpbiwpkduruqcml26r4p3prvnmjkgazeq43wo3kmq5emfe3bym","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1043"",""fileName"":""2-sliver-0654"",""ipfs_hash"":""ipfs://bafybeiholpbiwpkduruqcml26r4p3prvnmjkgazeq43wo3kmq5emfe3bym"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.002,""Z"":0.0012},""coin_2_rotate"":{""X"":0.0066,""Z"":0.0074}}}"
